Source,Destination,Operator,Distance (Kms),Duration,Bus Type,Departure,Arrival,Bus Price,Bus Arrival Date
Nashik,Hyderabad,VRL Travels,830,09:37,Seater,07:51,10:19,5915,29-08-2025
Kolhapur,Surat,RedBus,257,03:05,Seater,18:43,05:58,1482,04-08-2025
Amravati,Hyderabad,SRS Travels,1223,05:28,Sleeper,17:00,07:31,6130,11-05-2025
Solapur,Indore,SRS Travels,1792,08:29,Luxury Coach,22:30,15:56,2174,24-10-2025
Nashik,Hyderabad,VRL Travels,1271,08:50,Luxury Coach,07:38,19:27,7725,19-09-2025
Pune,Vadodara,Rajdhani Travels,1544,11:05,Sleeper,20:23,07:12,5300,29-12-2025
Thane,Goa,Rajdhani Travels,1645,01:47,Luxury Coach,04:19,17:49,1177,23-03-2025
Solapur,Indore,Rajdhani Travels,838,03:28,Luxury Coach,07:28,03:00,5326,13-07-2025
Nagpur,Goa,RedBus,833,11:44,Seater,00:57,16:48,6454,25-07-2025
Jalgaon,Indore,RedBus,451,10:20,Seater,19:27,23:52,6864,17-09-2025
Kolhapur,Hyderabad,SRS Travels,1388,05:28,Luxury Coach,12:47,16:04,422,18-10-2025
Mumbai,Hyderabad,VRL Travels,1180,01:19,Sleeper,20:08,17:10,2201,12-12-2025
Thane,Jaipur,VRL Travels,833,10:58,Seater,19:42,06:15,2202,19-12-2025
Aurangabad,Surat,RedBus,1501,12:44,Seater,01:21,04:02,3424,19-06-2025
Jalgaon,Indore,VRL Travels,1691,08:08,Sleeper,00:11,21:04,6512,03-04-2025
Nashik,Indore,RedBus,767,01:46,Sleeper,15:45,12:59,1985,31-01-2025
Amravati,Surat,Rajdhani Travels,1967,10:48,Seater,18:35,06:24,1010,04-12-2025
Nashik,Udaipur,SRS Travels,1351,07:51,Seater,03:48,02:28,2386,01-08-2025
Pune,Hyderabad,VRL Travels,485,01:03,Luxury Coach,15:40,17:51,5760,07-07-2025
Mumbai,Indore,Rajdhani Travels,1323,02:04,Seater,18:03,21:26,7996,18-03-2025
Kolhapur,Surat,RedBus,452,12:37,Seater,00:11,10:19,612,24-07-2025
Pune,Ahmedabad,SRS Travels,639,03:32,Sleeper,09:33,06:15,6061,04-06-2025
Pune,Bhopal,VRL Travels,1713,04:09,Sleeper,05:07,22:03,911,20-10-2025
Amravati,Jaipur,VRL Travels,114,05:34,Seater,21:54,15:33,6836,25-07-2025
Kolhapur,Indore,RedBus,398,09:32,Sleeper,03:48,04:26,1285,22-07-2025
Mumbai,Ahmedabad,Rajdhani Travels,716,05:10,Sleeper,01:41,09:31,6896,20-06-2025
Jalgaon,Indore,RedBus,179,06:48,Sleeper,23:19,00:31,4223,04-11-2025
Kolhapur,Udaipur,Rajdhani Travels,1259,05:12,Luxury Coach,01:53,15:31,520,25-07-2025
Aurangabad,Hyderabad,SRS Travels,1682,02:07,Sleeper,06:09,20:43,2206,06-10-2025
Pune,Udaipur,VRL Travels,1170,05:52,Seater,18:26,18:02,4969,28-05-2025
Jalgaon,Hyderabad,VRL Travels,1745,12:32,Seater,09:14,14:27,3310,18-05-2025
Mumbai,Udaipur,SRS Travels,526,03:14,Luxury Coach,07:22,12:18,2521,10-02-2025
Kolhapur,Bhopal,Rajdhani Travels,552,06:02,Seater,03:41,06:02,1650,12-06-2025
Pune,Surat,RedBus,1655,08:01,Sleeper,14:30,14:36,6108,14-02-2025
Jalgaon,Bhopal,RedBus,319,07:14,Luxury Coach,04:14,05:34,2578,20-02-2025
Amravati,Goa,SRS Travels,1439,01:04,Sleeper,05:58,13:41,5343,12-10-2025
Solapur,Chennai,SRS Travels,1050,06:35,Sleeper,15:18,17:45,3353,18-06-2025
Aurangabad,Surat,RedBus,1246,07:54,Luxury Coach,19:20,18:11,704,22-01-2025
Pune,Ahmedabad,Rajdhani Travels,1603,06:48,Luxury Coach,15:28,14:32,2015,16-05-2025
Thane,Udaipur,Rajdhani Travels,646,11:12,Seater,21:38,15:19,7181,27-06-2025
Pune,Goa,RedBus,1192,11:52,Luxury Coach,20:59,13:36,3732,29-03-2025
Jalgaon,Surat,VRL Travels,1830,12:50,Seater,08:54,00:25,1602,04-09-2025
Solapur,Ahmedabad,Rajdhani Travels,1610,02:15,Seater,15:21,12:24,6040,29-09-2025
Aurangabad,Udaipur,SRS Travels,1150,01:54,Luxury Coach,20:36,11:20,7420,29-04-2025
Nashik,Ahmedabad,RedBus,660,04:20,Sleeper,20:56,15:14,2306,14-10-2025
Kolhapur,Jaipur,RedBus,388,12:00,Luxury Coach,17:15,06:09,3813,04-07-2025
Pune,Indore,RedBus,581,05:37,Seater,00:36,16:54,7823,09-06-2025
Kolhapur,Udaipur,RedBus,1067,12:23,Seater,22:44,22:07,445,18-07-2025
Kolhapur,Udaipur,VRL Travels,2000,07:24,Luxury Coach,18:59,12:00,2065,31-03-2025
Pune,Vadodara,SRS Travels,1499,10:07,Seater,17:54,03:13,5473,31-05-2025
Mumbai,Indore,VRL Travels,235,06:00,Luxury Coach,19:14,01:37,2120,24-10-2025
Thane,Chennai,Rajdhani Travels,1235,05:34,Sleeper,19:24,18:54,3818,22-10-2025
Pune,Udaipur,Rajdhani Travels,1160,11:43,Sleeper,08:29,05:19,5456,15-09-2025
Nashik,Udaipur,VRL Travels,234,08:12,Sleeper,23:13,21:14,4788,01-09-2025
Aurangabad,Udaipur,RedBus,262,10:24,Seater,13:37,12:11,6959,15-07-2025
Aurangabad,Indore,Rajdhani Travels,1955,12:36,Seater,12:42,17:03,4728,14-06-2025
Solapur,Jaipur,Rajdhani Travels,1905,04:56,Sleeper,09:21,09:26,3774,29-09-2025
Thane,Goa,RedBus,1405,04:58,Luxury Coach,02:00,04:13,2438,15-08-2025
Kolhapur,Surat,Rajdhani Travels,1245,04:13,Seater,13:46,04:26,6397,09-10-2025
Nagpur,Hyderabad,SRS Travels,769,06:57,Seater,10:56,09:01,7246,18-04-2025
Pune,Bhopal,Rajdhani Travels,1243,06:39,Sleeper,14:48,09:35,1639,01-03-2025
Thane,Goa,SRS Travels,436,10:05,Seater,23:48,11:38,1218,09-02-2025
Nagpur,Surat,VRL Travels,1866,11:03,Seater,21:23,12:58,6513,07-04-2025
Jalgaon,Hyderabad,Rajdhani Travels,830,12:03,Sleeper,19:37,03:39,1002,21-01-2025
Amravati,Hyderabad,Rajdhani Travels,1849,02:26,Luxury Coach,08:04,10:28,4802,10-11-2025
Amravati,Surat,RedBus,1209,07:23,Seater,23:11,23:45,4816,18-01-2025
Pune,Bhopal,VRL Travels,1497,10:39,Sleeper,16:13,12:08,5154,08-08-2025
Nashik,Hyderabad,Rajdhani Travels,1061,08:28,Seater,19:21,01:41,4295,07-11-2025
Pune,Goa,SRS Travels,1418,01:41,Sleeper,16:24,15:35,2615,14-12-2025
Amravati,Indore,RedBus,440,10:56,Luxury Coach,19:07,15:20,3199,29-08-2025
Kolhapur,Ahmedabad,Rajdhani Travels,1983,02:00,Sleeper,10:47,06:14,4133,30-07-2025
Nagpur,Goa,RedBus,1193,02:31,Luxury Coach,19:01,09:49,4760,31-01-2025
Aurangabad,Indore,RedBus,131,07:27,Seater,11:30,00:12,2963,07-11-2025
Amravati,Goa,SRS Travels,430,06:02,Seater,06:55,06:03,1059,23-01-2025
Pune,Jaipur,RedBus,1772,09:55,Sleeper,02:29,22:12,7049,18-05-2025
Nagpur,Vadodara,SRS Travels,1220,01:41,Seater,11:03,07:54,1863,29-06-2025
Kolhapur,Indore,SRS Travels,834,09:51,Seater,12:12,20:51,3011,01-07-2025
Amravati,Jaipur,VRL Travels,500,04:45,Sleeper,17:07,20:37,523,12-04-2025
Kolhapur,Surat,SRS Travels,1821,01:21,Seater,02:58,22:01,5589,24-01-2025
Solapur,Indore,Rajdhani Travels,1907,05:48,Seater,12:53,07:41,7156,28-10-2025
Mumbai,Goa,RedBus,1003,08:15,Sleeper,20:25,04:47,5002,24-02-2025
Pune,Hyderabad,VRL Travels,326,08:04,Sleeper,17:01,16:39,5635,08-12-2025
Thane,Bhopal,VRL Travels,1629,02:17,Luxury Coach,14:01,18:32,7531,28-04-2025
Kolhapur,Surat,Rajdhani Travels,1869,05:41,Sleeper,20:10,18:23,6200,04-07-2025
Kolhapur,Ahmedabad,Rajdhani Travels,1030,08:51,Sleeper,20:56,10:55,2864,01-12-2025
Kolhapur,Vadodara,VRL Travels,544,08:49,Sleeper,14:43,15:12,2473,15-12-2025
Amravati,Vadodara,RedBus,1966,05:26,Seater,16:36,23:54,3107,06-10-2025
Solapur,Vadodara,RedBus,756,10:22,Luxury Coach,19:57,22:12,3750,06-04-2025
Jalgaon,Bhopal,Rajdhani Travels,1318,03:58,Luxury Coach,21:33,08:58,475,24-11-2025
Nagpur,Bhopal,SRS Travels,1691,05:31,Seater,06:32,18:38,1281,12-12-2025
Amravati,Bhopal,Rajdhani Travels,1233,12:10,Luxury Coach,00:06,09:13,4650,04-07-2025
Pune,Indore,Rajdhani Travels,687,06:16,Luxury Coach,09:44,04:23,4648,09-10-2025
Kolhapur,Jaipur,SRS Travels,985,03:54,Luxury Coach,01:16,08:43,5015,09-06-2025
Mumbai,Hyderabad,RedBus,1380,07:24,Luxury Coach,12:02,09:29,2473,11-03-2025
Nashik,Surat,RedBus,1677,05:08,Seater,17:44,12:52,4160,26-04-2025
Nashik,Jaipur,RedBus,708,11:10,Luxury Coach,10:20,20:32,4744,18-09-2025
Mumbai,Chennai,SRS Travels,590,04:00,Sleeper,19:16,17:29,5258,14-10-2025
Nashik,Hyderabad,Rajdhani Travels,1503,01:58,Seater,11:28,00:29,575,18-07-2025
Pune,Chennai,VRL Travels,312,12:55,Seater,06:12,00:01,7965,14-02-2025
Aurangabad,Jaipur,Rajdhani Travels,1391,09:48,Sleeper,00:54,15:45,775,23-03-2025
Amravati,Indore,Rajdhani Travels,848,06:16,Luxury Coach,07:34,12:52,920,08-01-2025
Nagpur,Jaipur,VRL Travels,1021,01:10,Sleeper,02:28,23:22,5179,20-04-2025
Aurangabad,Chennai,VRL Travels,1421,04:35,Luxury Coach,20:50,10:20,5196,25-03-2025
Nashik,Chennai,VRL Travels,1739,07:31,Seater,08:01,10:22,3790,23-09-2025
Jalgaon,Surat,RedBus,104,06:21,Seater,13:09,09:50,2043,02-10-2025
Thane,Bhopal,Rajdhani Travels,1718,01:51,Luxury Coach,05:03,00:47,6346,13-03-2025
Solapur,Hyderabad,Rajdhani Travels,1663,05:19,Seater,22:42,14:00,1131,01-08-2025
Thane,Bhopal,SRS Travels,1428,12:36,Luxury Coach,15:10,17:33,4076,09-02-2025
Amravati,Udaipur,SRS Travels,1310,11:56,Sleeper,02:36,03:05,2128,07-05-2025
Solapur,Hyderabad,VRL Travels,532,03:07,Luxury Coach,21:36,22:07,7048,24-02-2025
Aurangabad,Chennai,Rajdhani Travels,568,02:16,Luxury Coach,06:26,13:51,530,28-11-2025
Pune,Hyderabad,VRL Travels,1984,03:04,Luxury Coach,13:26,08:21,5764,08-05-2025
Solapur,Udaipur,RedBus,782,12:15,Luxury Coach,23:12,05:27,5694,21-03-2025
Pune,Vadodara,RedBus,190,03:12,Sleeper,04:41,02:09,4102,19-01-2025
Jalgaon,Goa,VRL Travels,112,12:16,Sleeper,10:32,22:19,5596,06-09-2025
Aurangabad,Hyderabad,SRS Travels,619,10:15,Seater,20:39,01:33,3178,23-07-2025
Aurangabad,Chennai,VRL Travels,1356,12:42,Sleeper,21:51,05:53,6582,18-08-2025
Aurangabad,Hyderabad,SRS Travels,1115,03:26,Sleeper,16:23,08:25,3778,04-11-2025
Nagpur,Chennai,SRS Travels,801,03:19,Luxury Coach,07:19,09:55,4927,01-01-2025
Jalgaon,Hyderabad,RedBus,218,05:37,Sleeper,15:52,05:00,5313,28-12-2025
Amravati,Chennai,Rajdhani Travels,1987,06:15,Seater,20:08,10:54,328,14-01-2025
Mumbai,Surat,RedBus,591,03:48,Luxury Coach,22:40,19:17,4700,19-10-2025
Thane,Surat,SRS Travels,1747,12:15,Seater,23:04,06:16,6182,24-11-2025
Nashik,Goa,SRS Travels,1974,06:11,Seater,07:23,00:09,4456,20-03-2025
Aurangabad,Ahmedabad,VRL Travels,895,12:01,Seater,08:34,14:54,7854,10-02-2025
Pune,Hyderabad,VRL Travels,1696,03:54,Luxury Coach,04:00,01:14,2663,17-05-2025
Nashik,Surat,VRL Travels,1266,09:20,Luxury Coach,03:16,05:35,4217,29-11-2025
Nashik,Jaipur,SRS Travels,268,10:22,Sleeper,23:25,02:54,4825,12-04-2025
Aurangabad,Vadodara,RedBus,1088,05:38,Luxury Coach,16:54,22:55,7001,22-01-2025
Aurangabad,Bhopal,Rajdhani Travels,1073,10:37,Seater,05:14,20:26,7703,08-11-2025
Solapur,Surat,SRS Travels,1048,06:20,Seater,20:19,05:42,5211,18-09-2025
Mumbai,Bhopal,SRS Travels,732,06:17,Sleeper,07:20,18:56,7288,28-04-2025
Thane,Ahmedabad,SRS Travels,1197,03:56,Seater,09:42,00:06,4923,25-10-2025
Nashik,Bhopal,VRL Travels,359,05:49,Luxury Coach,21:35,03:24,7678,14-10-2025
Thane,Goa,VRL Travels,1526,10:07,Seater,03:41,14:08,4806,21-09-2025
Kolhapur,Vadodara,RedBus,216,12:23,Sleeper,03:17,23:03,5879,05-02-2025
Thane,Jaipur,Rajdhani Travels,1276,07:05,Sleeper,17:10,03:46,6277,29-07-2025
Thane,Vadodara,Rajdhani Travels,284,06:22,Luxury Coach,07:40,13:35,5924,07-04-2025
Solapur,Bhopal,SRS Travels,938,10:59,Seater,00:07,06:08,4674,31-10-2025
Amravati,Vadodara,VRL Travels,1621,04:42,Sleeper,22:05,01:04,5109,03-05-2025
Jalgaon,Chennai,VRL Travels,1779,11:18,Seater,21:45,02:49,5061,25-08-2025
Mumbai,Ahmedabad,SRS Travels,207,10:21,Luxury Coach,19:32,18:26,6080,30-08-2025
Mumbai,Chennai,VRL Travels,1306,03:36,Sleeper,05:55,14:23,4386,29-10-2025
Aurangabad,Udaipur,Rajdhani Travels,436,12:01,Seater,21:34,02:06,6016,15-04-2025
Solapur,Vadodara,RedBus,1782,03:47,Luxury Coach,03:50,08:04,6739,07-06-2025
Thane,Hyderabad,SRS Travels,1520,05:20,Sleeper,05:53,18:11,5667,16-11-2025
Amravati,Vadodara,SRS Travels,1042,04:50,Sleeper,20:36,10:51,6342,11-10-2025
Mumbai,Udaipur,RedBus,1111,06:54,Luxury Coach,08:36,09:23,2653,04-05-2025
Aurangabad,Chennai,SRS Travels,1132,09:07,Luxury Coach,03:27,13:52,6788,02-05-2025
Aurangabad,Udaipur,RedBus,1941,07:28,Seater,04:34,16:25,3899,28-08-2025
Mumbai,Ahmedabad,Rajdhani Travels,508,08:14,Sleeper,00:04,12:17,7034,21-03-2025
Mumbai,Chennai,SRS Travels,161,04:13,Sleeper,06:02,20:56,7871,16-08-2025
Kolhapur,Surat,RedBus,481,01:55,Sleeper,00:01,14:08,7751,13-05-2025
Mumbai,Bhopal,Rajdhani Travels,443,10:05,Luxury Coach,20:39,16:40,3016,18-02-2025
Pune,Indore,Rajdhani Travels,626,05:50,Sleeper,17:30,02:35,3206,26-02-2025
Nagpur,Indore,SRS Travels,1754,12:48,Sleeper,07:17,13:19,3391,29-01-2025
Mumbai,Chennai,RedBus,1368,12:34,Luxury Coach,10:02,12:25,2718,23-03-2025
Pune,Surat,SRS Travels,708,07:04,Sleeper,05:22,03:05,3145,12-12-2025
Nagpur,Vadodara,SRS Travels,1576,10:43,Seater,06:11,23:45,989,10-09-2025
Nashik,Vadodara,VRL Travels,1231,05:35,Seater,13:53,18:50,6846,11-07-2025
Kolhapur,Hyderabad,RedBus,1979,08:03,Luxury Coach,08:33,13:19,3327,15-08-2025
Thane,Jaipur,Rajdhani Travels,790,06:19,Seater,14:46,11:19,6380,16-12-2025
Thane,Bhopal,RedBus,748,08:42,Sleeper,08:36,03:35,1904,12-02-2025
Jalgaon,Indore,RedBus,1490,11:03,Seater,04:33,04:15,5757,23-04-2025
Nagpur,Hyderabad,VRL Travels,1249,12:13,Seater,12:34,19:08,1945,03-11-2025
Nagpur,Surat,RedBus,1123,02:05,Seater,13:54,22:24,2811,29-04-2025
Nagpur,Udaipur,RedBus,1139,02:43,Luxury Coach,07:20,10:42,3905,06-06-2025
Pune,Chennai,SRS Travels,1176,12:38,Sleeper,20:10,21:59,6402,05-06-2025
Amravati,Ahmedabad,SRS Travels,392,07:55,Luxury Coach,11:39,18:49,828,23-02-2025
Nagpur,Vadodara,SRS Travels,1009,07:18,Sleeper,06:26,02:38,4515,16-11-2025
Jalgaon,Hyderabad,RedBus,382,02:34,Seater,00:01,19:14,934,24-12-2025
Nagpur,Vadodara,VRL Travels,1216,12:05,Sleeper,12:54,14:24,5223,31-01-2025
Amravati,Bhopal,SRS Travels,987,04:25,Sleeper,23:27,06:59,595,27-04-2025
Pune,Jaipur,RedBus,1824,07:13,Luxury Coach,01:14,10:45,1388,24-02-2025
Pune,Udaipur,Rajdhani Travels,564,08:48,Sleeper,19:05,17:41,7291,06-11-2025
Jalgaon,Hyderabad,RedBus,607,06:54,Sleeper,19:59,12:17,5017,27-07-2025
Pune,Surat,RedBus,751,10:58,Luxury Coach,10:11,04:52,2451,06-05-2025
Mumbai,Bhopal,VRL Travels,1860,04:16,Sleeper,23:30,18:49,3729,11-03-2025
Nagpur,Indore,RedBus,140,12:23,Sleeper,01:41,08:16,1999,30-08-2025
Thane,Udaipur,RedBus,1044,11:50,Luxury Coach,12:33,16:53,7090,28-03-2025
Nagpur,Indore,RedBus,808,04:21,Sleeper,15:50,05:04,3905,27-10-2025
Nagpur,Udaipur,RedBus,1932,10:57,Sleeper,01:26,00:09,1545,13-06-2025
Nagpur,Ahmedabad,RedBus,1613,11:05,Seater,17:06,22:07,1908,04-10-2025
Nagpur,Bhopal,VRL Travels,1814,06:48,Seater,19:35,17:09,2670,16-03-2025
Pune,Indore,SRS Travels,1466,04:45,Seater,05:46,06:32,5440,16-11-2025
Aurangabad,Bhopal,RedBus,1055,12:15,Sleeper,08:26,19:19,6124,25-08-2025
Aurangabad,Bhopal,Rajdhani Travels,914,10:59,Seater,17:28,15:18,2383,01-02-2025
Nagpur,Ahmedabad,SRS Travels,1347,06:34,Sleeper,23:25,00:14,5698,18-05-2025
Solapur,Jaipur,VRL Travels,1379,08:05,Seater,02:01,05:18,1303,13-08-2025
Kolhapur,Goa,Rajdhani Travels,1339,02:55,Sleeper,01:05,15:06,4335,09-12-2025
Jalgaon,Goa,VRL Travels,602,01:59,Sleeper,09:45,08:36,1412,01-05-2025
Mumbai,Chennai,Rajdhani Travels,1047,06:04,Sleeper,14:14,22:52,7381,31-08-2025
Nagpur,Indore,VRL Travels,1379,08:50,Luxury Coach,22:13,10:30,3315,31-12-2025
Kolhapur,Chennai,RedBus,305,06:17,Luxury Coach,12:44,19:58,3722,02-08-2025
Pune,Bhopal,Rajdhani Travels,1769,07:25,Sleeper,13:16,09:32,5367,07-11-2025
Nashik,Surat,VRL Travels,1971,02:40,Luxury Coach,00:32,14:49,7497,07-06-2025
Amravati,Vadodara,SRS Travels,1923,04:31,Luxury Coach,18:41,01:13,4466,18-07-2025
Pune,Vadodara,RedBus,113,02:09,Seater,11:51,10:29,2121,15-11-2025
Pune,Hyderabad,VRL Travels,279,11:33,Luxury Coach,07:43,13:29,6976,12-07-2025
Pune,Ahmedabad,RedBus,1570,10:00,Seater,13:22,10:22,7527,30-10-2025
Thane,Vadodara,VRL Travels,509,09:13,Luxury Coach,23:12,20:40,7774,01-02-2025
Aurangabad,Chennai,VRL Travels,1652,05:48,Seater,05:51,11:57,4254,23-01-2025
Aurangabad,Jaipur,RedBus,327,06:53,Sleeper,14:54,15:20,4805,10-12-2025
Amravati,Chennai,RedBus,1651,12:04,Sleeper,21:16,22:23,1951,12-01-2025
Mumbai,Bhopal,VRL Travels,1483,02:30,Sleeper,13:30,07:30,4197,17-07-2025
Mumbai,Vadodara,SRS Travels,575,10:25,Luxury Coach,23:06,20:16,1567,07-02-2025
Jalgaon,Hyderabad,Rajdhani Travels,641,10:42,Sleeper,07:34,15:14,4261,18-03-2025
Aurangabad,Surat,RedBus,1086,11:56,Sleeper,21:31,22:07,3873,27-03-2025
Solapur,Udaipur,Rajdhani Travels,246,04:25,Sleeper,17:43,08:59,5482,06-07-2025
Solapur,Surat,VRL Travels,1899,06:18,Seater,00:02,18:42,854,23-05-2025
Amravati,Ahmedabad,VRL Travels,214,03:59,Sleeper,11:17,13:50,7623,27-12-2025
Nagpur,Ahmedabad,SRS Travels,1453,03:36,Sleeper,06:03,09:06,6266,20-11-2025
Nagpur,Surat,Rajdhani Travels,459,07:50,Seater,11:49,12:50,6406,13-12-2025
Pune,Ahmedabad,VRL Travels,391,05:41,Sleeper,02:03,13:39,5159,24-06-2025
Kolhapur,Ahmedabad,RedBus,1061,10:28,Seater,02:38,22:02,362,30-09-2025
Jalgaon,Ahmedabad,VRL Travels,856,09:27,Luxury Coach,12:46,04:46,7761,22-03-2025
Pune,Hyderabad,RedBus,1387,10:02,Luxury Coach,07:14,21:31,3091,15-03-2025
