From,To,Train Name,Train No,Duration,Type,Departure Time,Arrival Time,Price Category,Train Price,Train Date
Amravati,Vadodara,Vadodara Express,81568,01:41,Express,06:36,02:30,Luxury,354,09-10-2025
Amravati,Hyderabad,Hyderabad Express,87973,04:51,Superfast,01:52,17:58,Economy,902,07-06-2025
Solapur,Surat,Surat Express,82225,01:00,Express,23:27,19:17,Moderate,858,10-07-2025
Thane,Surat,Surat Express,85533,13:16,Passenger,09:00,00:26,Luxury,917,09-04-2025
Pune,Hyderabad,Hyderabad Express,84208,14:55,Express,01:06,22:43,Moderate,512,06-03-2025
Pune,Hyderabad,Hyderabad Express,83139,19:30,Superfast,16:49,23:49,Moderate,513,28-06-2025
Mumbai,Indore,Indore Express,80067,12:02,Express,02:05,04:26,Luxury,295,07-08-2025
Solapur,Udaipur,Udaipur Express,88114,09:53,Passenger,22:19,06:57,Economy,956,08-12-2025
Nashik,Bhopal,Bhopal Express,83076,12:28,Passenger,03:24,18:25,Luxury,875,17-10-2025
Jalgaon,Chennai,Chennai Express,85667,16:33,Superfast,19:20,03:32,Economy,783,25-12-2025
Nagpur,Surat,Surat Express,84694,02:39,Superfast,23:36,23:30,Luxury,804,23-04-2025
Nashik,Goa,Goa Express,81752,09:09,Express,04:52,01:18,Economy,275,05-04-2025
Amravati,Udaipur,Udaipur Express,80950,14:48,Superfast,21:07,14:53,Luxury,271,30-08-2025
Aurangabad,Ahmedabad,Ahmedabad Express,87076,08:47,Passenger,05:06,13:05,Moderate,226,13-08-2025
Nagpur,Ahmedabad,Ahmedabad Express,85872,09:10,Express,05:14,00:41,Luxury,178,07-06-2025
Amravati,Goa,Goa Express,87483,02:03,Passenger,00:37,23:23,Economy,592,30-05-2025
Nashik,Hyderabad,Hyderabad Express,80777,01:24,Passenger,03:38,04:18,Economy,233,29-08-2025
Kolhapur,Surat,Surat Express,88076,03:09,Superfast,13:15,03:13,Moderate,206,04-08-2025
Amravati,Hyderabad,Hyderabad Express,87999,18:13,Passenger,04:32,16:57,Luxury,638,11-05-2025
Solapur,Indore,Indore Express,82161,11:02,Superfast,09:16,22:44,Moderate,645,24-10-2025
Nashik,Hyderabad,Hyderabad Express,89750,11:01,Superfast,14:38,17:18,Luxury,511,19-09-2025
Pune,Vadodara,Vadodara Express,86113,14:34,Passenger,20:21,06:36,Luxury,643,29-12-2025
Thane,Goa,Goa Express,80501,13:33,Express,19:09,04:24,Luxury,807,23-03-2025
Solapur,Indore,Indore Express,82876,09:43,Passenger,10:22,13:28,Moderate,882,13-07-2025
Nagpur,Goa,Goa Express,80597,01:38,Passenger,06:14,14:55,Luxury,917,25-07-2025
Jalgaon,Indore,Indore Express,82200,08:22,Express,10:45,15:09,Luxury,207,17-09-2025
Kolhapur,Hyderabad,Hyderabad Express,87788,17:14,Express,12:06,03:15,Luxury,783,18-10-2025
Mumbai,Hyderabad,Hyderabad Express,89286,07:36,Passenger,09:08,21:15,Moderate,195,12-12-2025
Thane,Jaipur,Jaipur Express,84529,14:48,Express,06:07,10:29,Economy,278,19-12-2025
Aurangabad,Surat,Surat Express,85618,10:56,Superfast,03:35,02:24,Luxury,145,19-06-2025
Jalgaon,Indore,Indore Express,88197,08:57,Passenger,16:22,09:12,Economy,516,03-04-2025
Nashik,Indore,Indore Express,85658,08:59,Passenger,16:42,09:27,Economy,315,31-01-2025
Amravati,Surat,Surat Express,88571,10:33,Express,15:22,17:10,Luxury,354,04-12-2025
Nashik,Udaipur,Udaipur Express,84625,15:19,Express,10:24,05:24,Moderate,342,01-08-2025
Pune,Hyderabad,Hyderabad Express,84597,14:11,Express,18:01,09:58,Economy,161,07-07-2025
Mumbai,Indore,Indore Express,83605,02:07,Express,14:07,14:46,Luxury,316,18-03-2025
Kolhapur,Surat,Surat Express,80709,04:58,Superfast,12:42,14:25,Luxury,185,24-07-2025
Pune,Ahmedabad,Ahmedabad Express,82711,05:11,Superfast,16:29,14:06,Economy,664,04-06-2025
Pune,Bhopal,Bhopal Express,81894,10:07,Express,01:01,08:40,Moderate,157,20-10-2025
Amravati,Jaipur,Jaipur Express,82637,06:18,Express,09:11,20:13,Economy,507,25-07-2025
Kolhapur,Indore,Indore Express,85114,15:27,Express,06:20,09:47,Moderate,130,22-07-2025
Mumbai,Ahmedabad,Ahmedabad Express,82019,08:17,Express,07:13,22:54,Moderate,734,20-06-2025
Jalgaon,Indore,Indore Express,86338,20:20,Superfast,15:29,02:32,Luxury,366,04-11-2025
Kolhapur,Udaipur,Udaipur Express,88059,13:01,Express,17:45,02:56,Luxury,370,25-07-2025
Aurangabad,Hyderabad,Hyderabad Express,83228,14:38,Express,19:27,02:02,Economy,343,06-10-2025
Pune,Udaipur,Udaipur Express,89622,15:08,Superfast,15:50,16:58,Moderate,961,28-05-2025
Jalgaon,Hyderabad,Hyderabad Express,81646,11:22,Express,05:15,03:46,Moderate,177,18-05-2025
Mumbai,Udaipur,Udaipur Express,83625,11:17,Passenger,09:24,00:17,Economy,151,10-02-2025
Kolhapur,Bhopal,Bhopal Express,81090,01:49,Passenger,19:09,05:34,Economy,975,12-06-2025
Pune,Surat,Surat Express,81305,01:06,Superfast,17:58,23:09,Luxury,762,14-02-2025
Jalgaon,Bhopal,Bhopal Express,87023,03:57,Superfast,22:28,15:01,Moderate,579,20-02-2025
Amravati,Goa,Goa Express,88242,09:29,Express,17:17,10:25,Economy,735,12-10-2025
Solapur,Chennai,Chennai Express,81855,13:32,Express,20:54,11:27,Moderate,568,18-06-2025
Aurangabad,Surat,Surat Express,89526,13:38,Superfast,13:20,01:29,Moderate,584,22-01-2025
Pune,Ahmedabad,Ahmedabad Express,89607,18:36,Express,04:46,15:24,Moderate,829,16-05-2025
Thane,Udaipur,Udaipur Express,88760,17:30,Passenger,10:37,16:40,Economy,604,27-06-2025
Pune,Goa,Goa Express,80457,12:26,Superfast,19:50,07:31,Moderate,498,29-03-2025
Jalgaon,Surat,Surat Express,88326,16:36,Express,12:21,01:18,Moderate,473,04-09-2025
Solapur,Ahmedabad,Ahmedabad Express,84341,09:05,Passenger,20:36,17:29,Economy,326,29-09-2025
Aurangabad,Udaipur,Udaipur Express,80672,08:23,Superfast,16:14,03:10,Economy,111,29-04-2025
Nashik,Ahmedabad,Ahmedabad Express,88441,06:49,Express,00:54,03:35,Economy,293,14-10-2025
Kolhapur,Jaipur,Jaipur Express,86448,09:38,Superfast,16:44,02:30,Moderate,922,04-07-2025
Pune,Indore,Indore Express,86524,03:34,Superfast,07:27,16:15,Luxury,475,09-06-2025
Kolhapur,Udaipur,Udaipur Express,85484,08:23,Passenger,22:54,05:22,Moderate,442,18-07-2025
Kolhapur,Udaipur,Udaipur Express,84490,07:58,Superfast,20:20,13:23,Moderate,467,31-03-2025
Pune,Vadodara,Vadodara Express,86918,06:06,Express,09:47,03:46,Moderate,913,31-05-2025
Mumbai,Indore,Indore Express,84415,05:21,Superfast,23:17,01:51,Luxury,806,24-10-2025
Thane,Chennai,Chennai Express,85114,20:39,Superfast,03:33,13:07,Moderate,403,22-10-2025
Pune,Udaipur,Udaipur Express,85084,16:35,Express,18:18,13:20,Moderate,397,15-09-2025
Nashik,Udaipur,Udaipur Express,80638,19:56,Express,08:31,00:32,Economy,202,01-09-2025
Aurangabad,Udaipur,Udaipur Express,85477,01:45,Passenger,08:06,04:16,Moderate,478,15-07-2025
Aurangabad,Indore,Indore Express,82696,01:27,Superfast,14:04,01:16,Luxury,325,14-06-2025
Solapur,Jaipur,Jaipur Express,83932,03:47,Superfast,22:41,15:42,Luxury,924,29-09-2025
Thane,Goa,Goa Express,82737,06:40,Superfast,14:35,12:59,Moderate,563,15-08-2025
Kolhapur,Surat,Surat Express,83103,17:53,Express,11:34,17:56,Luxury,691,09-10-2025
Nagpur,Hyderabad,Hyderabad Express,86372,05:59,Passenger,10:36,06:19,Luxury,364,18-04-2025
Pune,Bhopal,Bhopal Express,84483,04:18,Passenger,03:32,07:20,Luxury,406,01-03-2025
Thane,Goa,Goa Express,83590,17:41,Express,07:17,14:49,Economy,606,09-02-2025
Nagpur,Surat,Surat Express,83190,18:29,Superfast,04:27,15:53,Luxury,685,07-04-2025
Jalgaon,Hyderabad,Hyderabad Express,89796,12:54,Passenger,00:38,06:39,Luxury,683,21-01-2025
Amravati,Hyderabad,Hyderabad Express,87970,16:01,Superfast,14:45,04:31,Economy,543,10-11-2025
Amravati,Surat,Surat Express,84624,14:03,Passenger,01:15,13:43,Luxury,956,18-01-2025
Pune,Bhopal,Bhopal Express,84323,08:33,Superfast,12:35,08:19,Economy,881,08-08-2025
Nashik,Hyderabad,Hyderabad Express,88967,02:51,Passenger,09:28,02:39,Economy,586,07-11-2025
Pune,Goa,Goa Express,82459,14:52,Superfast,19:51,14:35,Economy,977,14-12-2025
Amravati,Indore,Indore Express,85409,15:36,Express,21:37,21:03,Economy,760,29-08-2025
Kolhapur,Ahmedabad,Ahmedabad Express,88318,12:35,Superfast,06:06,18:59,Luxury,895,30-07-2025
Nagpur,Goa,Goa Express,83732,11:09,Passenger,08:09,21:53,Economy,697,31-01-2025
Aurangabad,Indore,Indore Express,87560,17:30,Passenger,19:06,08:58,Economy,487,07-11-2025
Amravati,Goa,Goa Express,87848,16:37,Superfast,16:56,10:06,Luxury,543,23-01-2025
Pune,Jaipur,Jaipur Express,83385,20:01,Passenger,02:49,10:27,Moderate,908,18-05-2025
Nagpur,Vadodara,Vadodara Express,80297,07:59,Passenger,14:40,02:34,Luxury,524,29-06-2025
Kolhapur,Indore,Indore Express,87381,06:38,Superfast,03:12,22:05,Economy,757,01-07-2025
Amravati,Jaipur,Jaipur Express,88517,07:07,Superfast,08:22,00:07,Luxury,492,12-04-2025
Kolhapur,Surat,Surat Express,86798,16:11,Superfast,02:57,01:37,Economy,367,24-01-2025
Solapur,Indore,Indore Express,88628,07:42,Superfast,11:54,10:47,Economy,444,28-10-2025
Mumbai,Goa,Goa Express,86353,04:50,Express,10:05,03:08,Luxury,693,24-02-2025
Pune,Hyderabad,Hyderabad Express,84164,07:06,Express,00:39,07:22,Economy,177,08-12-2025
Thane,Bhopal,Bhopal Express,80070,14:17,Passenger,12:49,18:48,Luxury,511,28-04-2025
Kolhapur,Surat,Surat Express,81094,04:36,Superfast,14:32,07:38,Luxury,569,04-07-2025
Kolhapur,Ahmedabad,Ahmedabad Express,89859,17:19,Superfast,00:00,13:04,Economy,378,01-12-2025
Kolhapur,Vadodara,Vadodara Express,89948,12:18,Superfast,21:27,23:48,Luxury,100,15-12-2025
Amravati,Vadodara,Vadodara Express,83058,06:57,Express,12:18,00:47,Luxury,642,06-10-2025
Solapur,Vadodara,Vadodara Express,89829,04:55,Passenger,18:26,18:57,Luxury,989,06-04-2025
Jalgaon,Bhopal,Bhopal Express,89642,04:55,Passenger,10:03,13:40,Economy,341,24-11-2025
Nagpur,Bhopal,Bhopal Express,80594,18:36,Superfast,00:21,07:31,Luxury,781,12-12-2025
Amravati,Bhopal,Bhopal Express,80961,14:17,Superfast,17:59,10:56,Luxury,607,04-07-2025
Pune,Indore,Indore Express,81507,12:51,Superfast,20:29,13:27,Moderate,183,09-10-2025
Kolhapur,Jaipur,Jaipur Express,89004,15:34,Superfast,11:36,10:55,Economy,889,09-06-2025
Mumbai,Hyderabad,Hyderabad Express,87455,13:46,Superfast,00:54,15:17,Moderate,510,11-03-2025
Nashik,Surat,Surat Express,81414,03:51,Superfast,13:08,20:36,Luxury,740,26-04-2025
Nashik,Jaipur,Jaipur Express,82365,13:12,Passenger,04:17,22:01,Economy,287,18-09-2025
Mumbai,Chennai,Chennai Express,82039,03:58,Superfast,08:39,13:40,Economy,322,14-10-2025
Nashik,Hyderabad,Hyderabad Express,86343,19:20,Passenger,12:24,15:29,Moderate,930,18-07-2025
Pune,Chennai,Chennai Express,87396,20:19,Express,01:41,09:35,Moderate,249,14-02-2025
Aurangabad,Jaipur,Jaipur Express,80238,05:26,Superfast,20:35,09:52,Luxury,274,23-03-2025
Amravati,Indore,Indore Express,83024,01:34,Superfast,21:25,13:50,Luxury,784,08-01-2025
Nagpur,Jaipur,Jaipur Express,86364,14:08,Superfast,00:06,12:01,Luxury,144,20-04-2025
Aurangabad,Chennai,Chennai Express,80908,12:40,Superfast,21:24,22:41,Luxury,401,25-03-2025
Nashik,Chennai,Chennai Express,85464,08:58,Superfast,00:49,13:53,Luxury,293,23-09-2025
Jalgaon,Surat,Surat Express,82453,07:25,Superfast,20:30,12:01,Moderate,751,02-10-2025
Thane,Bhopal,Bhopal Express,88249,08:22,Superfast,21:33,09:08,Luxury,310,13-03-2025
Solapur,Hyderabad,Hyderabad Express,88885,14:03,Express,15:17,09:02,Economy,605,01-08-2025
Thane,Bhopal,Bhopal Express,87324,01:20,Passenger,01:25,16:33,Luxury,594,09-02-2025
Amravati,Udaipur,Udaipur Express,83177,01:19,Superfast,10:34,01:51,Economy,827,07-05-2025
Solapur,Hyderabad,Hyderabad Express,89498,14:07,Superfast,07:25,18:54,Luxury,661,24-02-2025
Aurangabad,Chennai,Chennai Express,81876,16:29,Passenger,21:49,06:27,Luxury,613,28-11-2025
Pune,Hyderabad,Hyderabad Express,88147,08:55,Passenger,23:33,05:30,Luxury,157,08-05-2025
Solapur,Udaipur,Udaipur Express,89795,06:42,Express,13:16,15:05,Luxury,214,21-03-2025
Pune,Vadodara,Vadodara Express,86720,03:14,Express,10:17,19:29,Economy,477,19-01-2025
Jalgaon,Goa,Goa Express,84064,13:13,Express,17:26,10:15,Moderate,321,06-09-2025
Aurangabad,Hyderabad,Hyderabad Express,88700,12:31,Passenger,23:25,23:12,Economy,388,23-07-2025
Aurangabad,Chennai,Chennai Express,85172,03:45,Superfast,14:49,15:21,Economy,782,18-08-2025
Aurangabad,Hyderabad,Hyderabad Express,88288,14:55,Superfast,05:18,00:17,Economy,632,04-11-2025
Nagpur,Chennai,Chennai Express,87127,02:59,Superfast,15:13,01:44,Economy,576,01-01-2025
Jalgaon,Hyderabad,Hyderabad Express,86167,01:42,Passenger,22:23,10:26,Moderate,389,28-12-2025
Amravati,Chennai,Chennai Express,82412,12:50,Superfast,04:12,12:38,Economy,996,14-01-2025
Mumbai,Surat,Surat Express,88715,05:35,Express,22:18,06:39,Moderate,967,19-10-2025
Thane,Surat,Surat Express,87948,02:18,Passenger,23:08,02:46,Economy,957,24-11-2025
Nashik,Goa,Goa Express,84277,09:21,Passenger,21:37,18:48,Economy,189,20-03-2025
Aurangabad,Ahmedabad,Ahmedabad Express,84505,13:44,Passenger,18:23,11:11,Luxury,463,10-02-2025
Pune,Hyderabad,Hyderabad Express,87160,09:00,Superfast,15:20,11:53,Luxury,432,17-05-2025
Nashik,Surat,Surat Express,84596,10:19,Express,23:17,17:21,Luxury,160,29-11-2025
Nashik,Jaipur,Jaipur Express,88396,02:34,Passenger,07:29,19:40,Economy,303,12-04-2025
Aurangabad,Vadodara,Vadodara Express,86315,19:08,Express,15:25,22:09,Luxury,883,22-01-2025
Aurangabad,Bhopal,Bhopal Express,86426,20:56,Superfast,10:06,00:47,Moderate,396,08-11-2025
Solapur,Surat,Surat Express,85274,19:39,Superfast,03:39,07:34,Economy,881,18-09-2025
Mumbai,Bhopal,Bhopal Express,83943,09:46,Passenger,08:05,03:58,Moderate,453,28-04-2025
Thane,Ahmedabad,Ahmedabad Express,80230,08:54,Express,09:28,14:24,Moderate,185,25-10-2025
Nashik,Bhopal,Bhopal Express,87587,01:54,Passenger,16:40,19:16,Luxury,452,14-10-2025
Thane,Goa,Goa Express,84717,12:55,Superfast,09:00,06:38,Moderate,132,21-09-2025
Kolhapur,Vadodara,Vadodara Express,82957,20:14,Superfast,03:06,11:33,Luxury,646,05-02-2025
Thane,Jaipur,Jaipur Express,89259,18:50,Passenger,16:29,15:08,Luxury,178,29-07-2025
Thane,Vadodara,Vadodara Express,81474,06:03,Superfast,18:31,17:40,Luxury,804,07-04-2025
Solapur,Bhopal,Bhopal Express,87970,16:53,Express,14:54,13:23,Luxury,546,31-10-2025
Amravati,Vadodara,Vadodara Express,83093,04:17,Superfast,03:43,18:08,Moderate,833,03-05-2025
Jalgaon,Chennai,Chennai Express,82660,18:49,Express,05:28,06:27,Luxury,719,25-08-2025
Mumbai,Ahmedabad,Ahmedabad Express,89241,14:44,Superfast,17:38,02:43,Luxury,238,30-08-2025
Mumbai,Chennai,Chennai Express,84626,07:31,Superfast,18:58,11:03,Economy,624,29-10-2025
Aurangabad,Udaipur,Udaipur Express,88057,09:38,Express,09:07,05:43,Moderate,215,15-04-2025
Solapur,Vadodara,Vadodara Express,82687,04:34,Passenger,15:03,00:16,Moderate,668,07-06-2025
Thane,Hyderabad,Hyderabad Express,85961,14:09,Superfast,13:36,03:15,Moderate,126,16-11-2025
Amravati,Vadodara,Vadodara Express,81470,04:42,Passenger,09:29,21:30,Luxury,946,11-10-2025
Mumbai,Udaipur,Udaipur Express,86787,14:13,Passenger,04:09,02:54,Economy,590,04-05-2025
Aurangabad,Chennai,Chennai Express,87517,03:59,Express,02:21,16:14,Economy,142,02-05-2025
Aurangabad,Udaipur,Udaipur Express,85467,13:18,Express,02:39,17:12,Economy,787,28-08-2025
Mumbai,Ahmedabad,Ahmedabad Express,85035,16:31,Superfast,09:04,03:55,Moderate,535,21-03-2025
Mumbai,Chennai,Chennai Express,82387,12:26,Passenger,19:35,19:01,Moderate,492,16-08-2025
Kolhapur,Surat,Surat Express,89555,18:22,Passenger,03:20,03:16,Economy,331,13-05-2025
Mumbai,Bhopal,Bhopal Express,84871,19:43,Passenger,02:22,04:15,Economy,485,18-02-2025
Pune,Indore,Indore Express,84131,05:09,Passenger,14:45,21:17,Economy,245,26-02-2025
Nagpur,Indore,Indore Express,80246,01:10,Passenger,16:59,19:11,Luxury,413,29-01-2025
Mumbai,Chennai,Chennai Express,83856,03:28,Superfast,12:13,07:04,Luxury,429,23-03-2025
Pune,Surat,Surat Express,83526,08:16,Express,14:38,04:38,Economy,643,12-12-2025
Nagpur,Vadodara,Vadodara Express,86952,11:51,Express,10:17,05:22,Economy,796,10-09-2025
Nashik,Vadodara,Vadodara Express,80215,19:17,Express,19:28,03:40,Economy,940,11-07-2025
Kolhapur,Hyderabad,Hyderabad Express,87746,19:00,Passenger,04:53,21:36,Moderate,659,15-08-2025
Thane,Jaipur,Jaipur Express,88197,14:41,Express,10:46,11:12,Moderate,956,16-12-2025
Thane,Bhopal,Bhopal Express,87076,12:08,Passenger,07:22,17:52,Economy,654,12-02-2025
Jalgaon,Indore,Indore Express,85910,20:50,Passenger,04:24,15:43,Moderate,280,23-04-2025
Nagpur,Hyderabad,Hyderabad Express,82683,03:14,Superfast,04:57,21:51,Economy,158,03-11-2025
Nagpur,Surat,Surat Express,85500,20:51,Express,00:11,14:42,Luxury,578,29-04-2025
Nagpur,Udaipur,Udaipur Express,88022,01:53,Express,21:21,13:17,Luxury,378,06-06-2025
Pune,Chennai,Chennai Express,83710,18:57,Passenger,17:35,15:55,Luxury,407,05-06-2025
Amravati,Ahmedabad,Ahmedabad Express,80199,12:18,Express,08:55,07:07,Luxury,330,23-02-2025
Nagpur,Vadodara,Vadodara Express,88306,17:45,Superfast,00:20,14:30,Moderate,645,16-11-2025
Jalgaon,Hyderabad,Hyderabad Express,80047,11:19,Passenger,20:20,12:37,Luxury,635,24-12-2025
Nagpur,Vadodara,Vadodara Express,85084,20:18,Passenger,07:27,02:10,Luxury,840,31-01-2025
Amravati,Bhopal,Bhopal Express,84234,02:21,Superfast,18:09,13:00,Economy,846,27-04-2025
Pune,Jaipur,Jaipur Express,86742,11:53,Superfast,18:23,18:14,Moderate,196,24-02-2025
Pune,Udaipur,Udaipur Express,84599,17:20,Express,23:00,17:23,Moderate,146,06-11-2025
Jalgaon,Hyderabad,Hyderabad Express,83609,09:59,Superfast,23:59,19:37,Moderate,287,27-07-2025
Pune,Surat,Surat Express,82734,08:30,Superfast,21:19,08:35,Economy,383,06-05-2025
Mumbai,Bhopal,Bhopal Express,80542,20:55,Passenger,12:22,06:40,Luxury,840,11-03-2025
Nagpur,Indore,Indore Express,83025,09:09,Express,04:57,21:07,Moderate,482,30-08-2025
Thane,Udaipur,Udaipur Express,84611,19:35,Passenger,20:24,21:32,Economy,806,28-03-2025
Nagpur,Indore,Indore Express,83275,04:57,Superfast,01:43,10:32,Economy,270,27-10-2025
Nagpur,Udaipur,Udaipur Express,89646,11:00,Express,10:53,08:48,Moderate,411,13-06-2025
Nagpur,Ahmedabad,Ahmedabad Express,83812,14:31,Superfast,05:50,00:01,Luxury,867,04-10-2025
Nagpur,Bhopal,Bhopal Express,84928,18:09,Passenger,20:08,10:36,Economy,169,16-03-2025
Pune,Indore,Indore Express,85380,10:18,Superfast,04:33,10:23,Moderate,273,16-11-2025
Aurangabad,Bhopal,Bhopal Express,89924,04:57,Superfast,23:50,20:46,Luxury,966,25-08-2025
Aurangabad,Bhopal,Bhopal Express,80139,06:46,Passenger,05:32,17:16,Luxury,608,01-02-2025
Nagpur,Ahmedabad,Ahmedabad Express,82127,09:51,Passenger,07:16,14:02,Moderate,214,18-05-2025
Solapur,Jaipur,Jaipur Express,84676,01:06,Express,06:57,15:45,Economy,799,13-08-2025
Kolhapur,Goa,Goa Express,84822,16:59,Express,17:36,18:29,Economy,216,09-12-2025
Jalgaon,Goa,Goa Express,81323,17:39,Passenger,06:04,15:39,Economy,124,01-05-2025
Mumbai,Chennai,Chennai Express,86189,08:10,Superfast,13:32,13:57,Luxury,947,31-08-2025
Nagpur,Indore,Indore Express,80111,07:10,Superfast,16:49,15:52,Moderate,979,31-12-2025
Kolhapur,Chennai,Chennai Express,87576,08:03,Passenger,15:39,18:00,Moderate,168,02-08-2025
Pune,Bhopal,Bhopal Express,85711,18:48,Passenger,06:46,07:04,Economy,987,07-11-2025
Nashik,Surat,Surat Express,89334,20:38,Express,15:17,15:01,Moderate,950,07-06-2025
Amravati,Vadodara,Vadodara Express,83234,10:32,Superfast,17:56,03:23,Luxury,808,18-07-2025
Pune,Vadodara,Vadodara Express,89592,14:50,Express,12:18,01:23,Moderate,187,15-11-2025
Pune,Hyderabad,Hyderabad Express,86784,17:22,Express,06:28,11:22,Moderate,380,12-07-2025
Pune,Ahmedabad,Ahmedabad Express,81939,12:11,Passenger,20:11,05:14,Economy,886,30-10-2025
Thane,Vadodara,Vadodara Express,88937,06:53,Express,05:57,00:40,Economy,793,01-02-2025
Aurangabad,Chennai,Chennai Express,82852,16:47,Express,19:22,08:37,Luxury,266,23-01-2025
Aurangabad,Jaipur,Jaipur Express,81767,14:57,Superfast,19:18,09:10,Luxury,665,10-12-2025
Amravati,Chennai,Chennai Express,84419,13:02,Passenger,05:51,21:20,Moderate,127,12-01-2025
Mumbai,Bhopal,Bhopal Express,87086,03:44,Express,20:38,05:51,Luxury,913,17-07-2025
Mumbai,Vadodara,Vadodara Express,83917,06:43,Superfast,17:38,05:57,Economy,651,07-02-2025
Jalgaon,Hyderabad,Hyderabad Express,87293,10:35,Superfast,00:21,07:00,Economy,193,18-03-2025
Aurangabad,Surat,Surat Express,85744,13:54,Passenger,04:48,12:20,Luxury,612,27-03-2025
Solapur,Udaipur,Udaipur Express,82968,09:47,Superfast,21:01,06:02,Economy,847,06-07-2025
Solapur,Surat,Surat Express,85509,18:47,Express,07:29,21:45,Luxury,447,23-05-2025
Amravati,Ahmedabad,Ahmedabad Express,82290,08:42,Passenger,17:04,04:18,Luxury,155,27-12-2025
Nagpur,Ahmedabad,Ahmedabad Express,87792,04:20,Superfast,14:03,23:23,Moderate,797,20-11-2025
Nagpur,Surat,Surat Express,83000,04:46,Passenger,19:08,18:45,Moderate,897,13-12-2025
Pune,Ahmedabad,Ahmedabad Express,83934,13:01,Express,13:22,16:34,Luxury,972,24-06-2025
Kolhapur,Ahmedabad,Ahmedabad Express,87513,18:26,Express,00:08,00:09,Luxury,116,30-09-2025
Jalgaon,Ahmedabad,Ahmedabad Express,81172,09:12,Superfast,01:17,02:46,Economy,346,22-03-2025
Pune,Hyderabad,Hyderabad Express,84521,16:05,Passenger,02:12,04:38,Moderate,742,15-03-2025
